query,lat,lon,display_name,type,class,importance
"2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, 95051",37.3705437,-121.9670806,"NVIDIA Endeavor, 2788, San Tomas Expressway, Santa Clara, Santa Clara County, California, 95051, United States",yes,building,6.557488364991253e-05
"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",37.3350144,-122.0131527,"Apple Park Way, Cupertino, Santa Clara County, California, 95014, United States",unclassified,highway,0.05339264591439685
"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, 94043",37.4224858,-122.0855846,"Google Building 41, 1600, Amphitheatre Parkway, Mountain View, Santa Clara County, California, 94043, United States",commercial,building,6.277943083843774e-05
"ONE MICROSOFT WAY, REDMOND, WA, 98052-6399",47.6411813,-122.1266792,"Microsoft Building 1, 15975, NE One Microsoft Way, Microsoft Redmond East Campus, Overlake, Redmond, King County, Washington, 98052, United States",yes,building,6.192492561222275e-05
"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",47.622298,-122.3365001,"Amazon.com Invictus, 410, Terry Avenue North, South Lake Union, Cascade, Belltown, Seattle, King County, Washington, 98109, United States",company,office,7.72983901731444e-05
"3421 HILLVIEW AVENUE, PALO ALTO, CA, 94304",37.3990267,-122.1444156,"3421 Hillview Avenue, Hillview Avenue, Palo Alto, Santa Clara County, California, 94304, United States",bus_stop,highway,6.655451285568044e-05
"1 META WAY, MENLO PARK, CA, 94025",37.4810509,-122.1590645,"Meta MPK 21, 1, Meta Way, Meta West Campus, Belle Haven, Menlo Park, San Mateo County, California, 94025, United States",office,building,6.041123064007046e-05
"1 TESLA ROAD, AUSTIN, TX, 78725",30.2219321,-97.6187733,"Tesla Gigafactory Texas Main Building, 1, Tesla Road, Austin, Travis County, Texas, 78725, United States",manufacture,building,0.36902538090653614
"3555 FARNAM STREET, OMAHA, NE, 68131",41.2574068,-95.9653894,"Kiewit Plaza, 3555, Farnam Street, Blackstone, Omaha, Douglas County, Nebraska, 68131, United States",office,building,7.01800564583355e-05
"270 PARK AVENUE, NEW YORK, NY, 10017",40.7559787,-73.9759701,"270 Park Avenue, 270, Park Avenue, Midtown East, Manhattan Community Board 5, Manhattan, New York County, New York, 10017, United States",company,office,0.45005934006990783
"1 CUSTOMER DRIVE, BENTONVILLE, AR, 72716",36.3643435,-94.1947297,"Walmart Welcome Center, 1, Customer Drive, Bentonville, Benton County, Arkansas, 72716, United States",office,information,5.82780193789123e-05
"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, 95054",37.3829605,-121.9703774,"Advanced Micro Devices, 2485, Augustine Drive, Santa Clara, Santa Clara County, California, 95054, United States",company,office,0.60678957241416
"22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX, 77389",30.1032424,-95.4461518,"Chick-fil-A, 22777, Springwoods Village Parkway, Springwood, Spring, Harris County, Texas, 77389, United States",fast_food,amenity,5.6797894254932744e-05
"2000 PURCHASE STREET, PURCHASE, NY, 10577",41.0253802,-73.7131634,"2000, Purchase Street, Purchase, Town/Village of Harrison, Westchester County, New York, 10577, United States",house,place,5.493629358353578e-05
"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, 60064",42.3015593,-87.8902499,"North Waukegan Road, North Chicago, Lake County, Illinois, 60064, United States",primary,highway,0.05339150606546117
"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, 28255",35.2273122,-80.8422255,"Bank of America, 100, North Tryon Street, Uptown, Charlotte, Mecklenburg County, North Carolina, 28202, United States",bank,amenity,7.101625085827447e-05
"170 WEST TASMAN DR, SAN JOSE, CA, 95134-1706",37.4083584,-121.9540909,"Cisco Systems Building D, 180;170, West Tasman Drive, San Jose, Santa Clara County, California, 95134, United States",office,building,6.557488364991253e-05
"999 LAKE DRIVE, ISSAQUAH, WA, 98027-",47.5486034,-122.0506179,"Costco Corporate Building 1, 999, Lake Drive, Costco Corporate Campus, Issaquah, King County, Washington, 98027, United States",company,office,5.5864042114854924e-05
"2300 ORACLE WAY, AUSTIN, TX, 78741",30.243505,-97.721831,"2300, Oracle Way, Lakeshore, Austin, Travis County, Texas, 78741, United States",house,place,7.494392309448413e-05
"1400 SMITH STREET, HOUSTON, TX, 77002",29.755578,-95.3718129,"1400 Smith Street, 1400, Smith Street, Downtown, Houston, Harris County, Texas, 77006, United States",yes,building,0.33557113795112237
"ONE COCA COLA PLAZA, ATLANTA, GA, 30313",33.7708677,-84.3966253,"One Coca-Cola Plaza, 1, PATH Parkway, Atlanta, Fulton County, Georgia, 30313, United States",yes,building,7.908064393067854e-05
"3050 BOWERS AVE, SANTA CLARA, CA, 95054-3299",37.376829,-121.97789,"3050, Bowers Avenue, Santa Clara, Santa Clara County, California, 95054, United States",house,place,9.99999999995449e-06
"1 NEUMANN WAY, EVENDALE, OH, 45215",39.2391796,-84.4489878,"1, Aviation Way, Evendale, Hamilton County, Ohio, 45215, United States",parking,amenity,4.8139925230747196e-05
"ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, 45202",39.10304,-84.5075818,"One Procter & Gamble Plaza, 1, Procter & Gamble Plaza, Procter & Gamble General Office, Central Business District, Cincinnati, Hamilton County, Ohio, 45202, United States",office,building,7.314335851067395e-05
"1585 BROADWAY, NEW YORK, NY, 10036",40.7599838,-73.9855237,"Morgan Stanley Building, 1585, Broadway, Times Square, Manhattan Community Board 5, Manhattan, New York County, New York, 10036, United States",commercial,building,0.44527380008827316
"121 ALBRIGHT WAY, LOS GATOS, CA, 95032",37.2569243,-121.9639389,"Netflix - Building E, 121, Albright Way, Vasona Junction, Los Gatos, Santa Clara County, California, 95032, United States",yes,building,5.86045624475016e-05
"200 WEST STREET, NEW YORK, NY, 10282",40.7147237,-74.0144315,"Goldman Sachs Tower, 200, West Street, Battery Park City, Lower Manhattan, Manhattan, New York County, New York, 10282, United States",yes,building,0.3699543402288119
"677 WASHINGTON BLVD, STE. 1100, STAMFORD, CT, 06901",41.056787,-73.5430911,"Washington Boulevard, Northfield, Stamford, Western Connecticut Planning Region, Connecticut, 06902, United States",primary,highway,0.05339634317540242
"3000 TANNERY WAY, SANTA CLARA, CA, 95054",37.3834303,-121.9827445,"3000, Tannery Way, Santa Clara, Santa Clara County, California, 95089, United States",commercial,building,6.557488364991253e-05
"1000 WILSON BLVD, ARLINGTON, VA, 22209",38.8940736,-77.0691107,"1000, Wilson Boulevard, Rosslyn, Arlington, Arlington County, Virginia, 22209, United States",yes,building,6.485313191419879e-05
"ONE DELL WAY, ROUND ROCK, TX, 78682",30.4871269,-97.6674084,"Dell Way, Dell Technologies - Round Rock Campus, Round Rock, Williamson County, Texas, 78682, United States",tertiary,highway,0.05339597848477909
"333 MARKET STREET, SAN FRANCISCO, CA, 94105",37.7919383,-122.3974036,"333 Market, 333, Market Street, Transbay, Financial District, South of Market, San Francisco, California, 94105, United States",office,building,0.32316133360556143
"58 CHARLES STREET, CAMBRIDGE, MA, 02141",42.3673664,-71.0800055,"58;78, Charles Street, East Cambridge, Cambridge, Middlesex County, Massachusetts, 02141, United States",office,building,7.142824444948528e-05
"ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, 91320",34.1910399,-118.9206609,"Amgen Center Drive, Newbury Park, Thousand Oaks, Ventura County, California, 91320, United States",unclassified,highway,0.053387969024185515
"ONE TECHNOLOGY DRIVE, MILPITAS, CA, 95035",37.4206902,-121.9225038,"Technology Drive, Milpitas, Santa Clara County, California, 95134, United States",tertiary,highway,0.053390553902494815
"5453 GREAT AMERICA PARKWAY, SANTA CLARA, CA, 95054",37.4120263,-121.9759495,"Arista Networks, 5453, Great America Parkway, Santa Clara, Santa Clara County, California, 95054, United States",company,office,0.306026056337308
"168 THIRD AVENUE, WALTHAM, MA, 02451",42.3922706,-71.2611867,"Thermo Fisher Scientific, 168, Third Avenue, Waltham, Middlesex County, Massachusetts, 02451, United States",yes,building,6.02983138780349e-05
"388 GREENWICH STREET, NEW YORK, NY, 10013",40.7206458,-74.0111721,"388, Greenwich Street, Lower Manhattan, Manhattan, New York County, New York, 10013, United States",office,building,0.34223694096820295
"1 NEW ORCHARD ROAD, ARMONK, NY, 10504",41.1134016,-73.720356,"1, New Orchard Road, Armonk, Town of North Castle, Westchester County, New York, 10504, United States",house,place,5.033264667730247e-05
"951 SANDISK DRIVE, MILPITAS, CA, 95035",37.4179087,-121.9215515,"951, SanDisk Drive, Milpitas, Santa Clara County, California, 95035, United States",house,place,9.99999999995449e-06
"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, 10036",40.7546492,-73.9848112,"Salesforce Tower, 1095, 6th Avenue, Midtown, Manhattan Community Board 5, Manhattan, New York County, New York, 10110, United States",commercial,building,0.3719975382006177
"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, 60064-3500",42.3010531,-87.8955374,"Abbott Labs, 100, Abbott Park Road, Lake County, Illinois, 60064, United States",research_institute,amenity,0.5027363594524359
"700 ANDERSON HILL RD, PURCHASE, NY, 10577",41.0348634,-73.6928308,"PepsiCo Headquarters, 700, Anderson Hill Road, Purchase, Town/Village of Harrison, Westchester County, New York, 10577, United States",office,building,0.578393530913351
"3000 SCHWAB WAY, WESTLAKE, TX, 76262",32.9949352,-97.2171139,"Schwab Way, Westlake, Denton County, Texas, 76262, United States",tertiary,highway,0.05338901274128325
"12920 SE 38TH STREET, BELLEVUE, WA, 98006",47.5765917,-122.167289,"T-Mobile Building 3, 12920, Southeast 38th Street, Sterling Heights Condominiums, Factoria, Bellevue, King County, Washington, 98006, United States",telecommunication,office,6.192492561222275e-05
"110 NORTH CARPENTER STREET, CHICAGO, IL, 60607",41.8837934,-87.6538408,"McDonald’s HQ, 110, North Carpenter Street, Fulton Market District, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",company,office,8.51537346455637e-05
"358 HALL AVE, WALLINGFORD, CT, 06492",41.4603453,-72.8330835,"Amphenol Corporation, 358, Hall Avenue, Wallingford, South Central Connecticut Planning Region, Connecticut, 06492, United States",commercial,building,5.726176852059232e-05
"500 SOUTH BUENA VISTA STREET, BURBANK, CA, 91521",34.1551262,-118.3265025,"500, South Buena Vista Street, Burbank, Los Angeles County, California, 91521, United States",house,place,9.99999999995449e-06
"50 HUDSON YARDS, NEW YORK, NY, 10001",40.7545193,-74.0001188,"50 Hudson Yards, 50, 10th Avenue, Chelsea District, Manhattan Community Board 4, Manhattan, New York County, New York, 10001, United States",commercial,building,9.175936522464359e-05
"333 LAKESIDE DR, FOSTER CITY, CA, 94404",37.568163,-122.283238,"333, Lakeside Drive, Foster City, San Mateo County, California, 94404, United States",house,place,9.99999999995449e-06
"208 S. AKARD ST, DALLAS, TX, 75202",32.7796042,-96.798763,"Whitacre Tower, 208, South Akard Street, Downtown PID, Dallas, Dallas County, Texas, 75202, United States",commercial,building,0.36081278497828223
"700 UNIVERSE BLVD, JUNO BEACH, FL, 33408",26.8593958,-80.0584184,"Florida Power and Light (FPL), 700, Universe Boulevard, Juno Beach, Palm Beach County, Florida, 33408, United States",yes,office,5.2134737163302316e-05
"4500 DORR STREET, TOLEDO, OH, 43615",41.6529667,-83.6486488,"4500, Dorr Street, Inverness Village, Reynolds Corners, Toledo, Lucas County, Ohio, 43607, United States",house,place,9.99999999995449e-06
"345 PARK AVENUE, NEW YORK, NY, 10154",40.7577559,-73.9722731,"345 Park Avenue, 345, Park Avenue, Midtown East, Manhattan Community Board 5, Manhattan, New York County, New York, 10154, United States",commercial,building,0.4114290048959136
"5775 MOREHOUSE DR, SAN DIEGO, CA, 92121",32.8959414,-117.1958195,"Qualcomm N, 5775, Morehouse Drive, Barnes Canyon, Sorrento Mesa, San Diego, San Diego County, California, 92121, United States",commercial,building,7.728007934686836e-05
"929 LONG BRIDGE DRIVE, ARLINGTON, VA, 22202",38.8645633,-77.0501894,"Boeing, 929, Long Bridge Drive, National Landing, Crystal City, Arlington, Arlington County, Virginia, 22202, United States",office,building,6.485313191419879e-05
"BAHNHOFSTRASSE 45, ZURICH, CH-8001",47.3719906,8.5382867,"45, Bahnhofstrasse, Lindenhof, Altstadt, Zürich, Bezirk Zürich, Zürich, 8001, Schweiz/Suisse/Svizzera/Svizra",house,place,7.85145342183111e-05
"FRIEDRICH-EBERT-ALLEE 140, BONN, 53113",50.7076148,7.1288609,"Deutsche Telekom AG, 140, Friedrich-Ebert-Allee, Gronau, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53113, Deutschland",telecommunication,office,7.564583810173216e-05
"1725 3RD STREET, SAN FRANCISCO, CA, 94158",37.7673882,-122.388581,"Uber Headquarters Building 4, 1725, 3rd Street, Mission Bay, San Francisco, California, 94158, United States",office,building,8.251392385743523e-05
"925 N. ELDRIDGE PARKWAY, HOUSTON, TX, 77079",29.7832208,-95.6177711,"925, North Eldridge Parkway, Energy Corridor, Houston, Harris County, Texas, 77079, United States",house,place,9.99999999995449e-06
"800 CONNECTICUT AVE, NORWALK, CT, 06854",41.0932565,-73.4541467,"800, Connecticut Avenue, Norwalk, Western Connecticut Planning Region, Connecticut, 06854, United States",house,place,6.300984206907786e-05
"66 HUDSON BOULEVARD EAST, NEW YORK, NY, 10001-2192",40.7552308,-73.999549,"66, Hudson Boulevard East, Chelsea District, Manhattan Community Board 4, Manhattan, New York County, New York, 10199, United States",house,place,9.175936522464359e-05
"5601 GREAT OAKS PARKWAY, SAN JOSE, CA, 95119",37.25065,-121.795226,"5601, Great Oaks Parkway, San Jose, Santa Clara County, California, 95119, United States",house,place,9.99999999995449e-06
"BROUWERIJPLEIN 1, LEUVEN",50.8866229,4.706972,"1, Brouwerijplein, Tweewaters, Leuven, Vlaams-Brabant, Vlaanderen, 3000, België / Belgique / Belgien",house,place,6.952849622334657e-05
"770 COCHITUATE RD, FRAMINGHAM, MA, 01701",42.303475,-71.4006629,"Cochituate Road, Framingham, Middlesex County, Massachusetts, 01701, United States",primary,highway,0.053389261463340165
"1-7-1, KONAN, MINATO-KU, TOKYO, 108-0075",35.6301291,139.7507521,"港南, 港区, 東京都, 108-0075, 日本",administrative,boundary,0.40906086839840655
"UNILEVER HOUSE, 100 VICTORIA EMBANKMENT, LONDON, EC4Y 0DY",51.5117203,-0.1050384,"Unilever, 100, Victoria Embankment, Blackfriars, City of London, Greater London, England, EC4Y 0HQ, United Kingdom",company,office,9.307927061870783e-05
"50 NORTHERN AVENUE, BOSTON, MA, 02210",42.3535931,-71.0461764,"Vertex, 50, Northern Avenue, Seaport, Boston, Suffolk County, Massachusetts, 02210, United States",commercial,building,8.102616922250732e-05
"1020 KIFER ROAD, SUNNYVALE, CA, 94086",37.3751422,-122.0133548,"1020, Kifer Road, Sunnyvale, Santa Clara County, California, 94086, United States",house,place,9.99999999995449e-06
"1680 CAPITAL ONE DRIVE, MCLEAN, VA, 22102",38.9242279,-77.2134433,"Capital One: Center 2, 1680, Capital One Drive, McLean, Fairfax County, Virginia, 22102, United States",office,building,6.485313191419879e-05
"2225 LAWSON LANE, SANTA CLARA, CA, 95054",37.3758244,-121.9627088,"ServiceNow, 2225, Lawson Lane, Santa Clara, Santa Clara County, California, 95054, United States",it,office,6.557488364991253e-05
"6801 ROCKLEDGE DR, BETHESDA, MD, 20817",39.0303212,-77.1371162,"6801, Rockledge Drive, North Bethesda, Montgomery County, Maryland, 20817, United States",house,place,9.99999999995449e-06
"55 WATER STREET, NEW YORK, NY, 10041",40.7032255,-74.0090671,"55 Water Street, 55, Water Street, Financial District, Manhattan, New York County, New York, 10004, United States",yes,building,0.39238421350124
"1941 STRYKER WAY, PORTAGE, MI, 49002",42.2243041,-85.5652925,"Stryker Instruments, 1941, Stryker Way, Portage, Kalamazoo County, Michigan, 49008, United States",yes,building,5.710612649724601e-05
"GLOBE HOUSE, 4 TEMPLE PLACE, LONDON",51.511797,-0.1130734,"British American Tobacco, 4, Temple Place, St Clement Danes, Covent Garden, City of Westminster, Greater London, England, WC2R 2PG, United Kingdom",company,office,0.5406616007746948
"ONE CVS DR., WOONSOCKET, RI, 02895",41.9919663,-71.4770385,"CVS Drive, Woonsocket, Providence County, Rhode Island, 02895, United States",residential,highway,0.053382932021057414
"888 BRANNAN ST., SAN FRANCISCO, CA, 94103",37.7719568,-122.4054484,"Airbnb, 888, Brannan Street, West SoMa, South of Market, San Francisco, California, 94103, United States",company,office,0.532519024899363
"6601 WEST BROAD STREET, RICHMOND, VA, 23230",37.5756531,-77.4863219,"West Broad Street, Sauer's Garden, Richmond, Virginia, 23230, United States",primary,highway,0.053374048218509156
"135 CONSTITUTION DRIVE, MENLO PARK, CA, 94025",37.4850492,-122.1762094,"Snowflake MPK 135, 135, Constitution Drive, Henderson, Menlo Park, San Mateo County, California, 94025, United States",it,office,6.041123064007046e-05
"909 KIFER ROAD, SUNNYVALE, CA, 94086",37.3770239,-122.0195761,"Kifer Road, Sunnyvale, Santa Clara County, California, 94086, United States",secondary,highway,0.05339516365300981
"33 BOULEVARD PRINCE HENRI, LUXEMBOURG",49.6097733,6.1248147,"The Office Suits, 33, Boulevard Prince Henri, Ville-Haute, Luxembourg, Canton Luxembourg, 1724, Lëtzebuerg",coworking,office,7.156710154874522e-05
"240 GREENWICH STREET, NEW YORK, NY, 10286",40.714195,-74.011673,"240, Greenwich Street, Tribeca, Lower Manhattan, Manhattan, New York County, New York, 10007, United States",house,place,9.99999999995449e-06
"345 PARK AVE, SAN JOSE, CA, 95110-2704",37.3294709,-121.8947723,"345, Park Avenue, Buena Vista, San Jose, Santa Clara County, California, 95110, United States",house,place,9.99999999995449e-06
"300 E. RIO SALADO PARKWAY, TEMPE, AZ, 85281",33.4301646,-111.9347975,"300, East Rio Salado Parkway, Tempe, Maricopa County, Arizona, 85281, United States",house,place,9.99999999995449e-06
"400 4 AVENUE SW, CALGARY, T2P 0J4",51.0495947,-114.0714934,"4 Avenue SW, Downtown Commercial Core, Calgary, Alberta, T2P 0J7, Canada",secondary,highway,0.05340748226138701
"ONE LAGOON DRIVE, REDWOOD CITY, CA, 94065",37.5275451,-122.2618297,"Lagoon Drive, Redwood City, San Mateo County, California, 94064, United States",residential,highway,0.053388876935988365
"79 NEW OXFORD STREET, LONDON, WC1A 1DG",51.5167434,-0.1280625,"New Oxford Street, St Giles, Bloomsbury, London Borough of Camden, Greater London, England, WC1A 1HB, United Kingdom",primary,highway,0.053426412603952055
"11011 SUNSET HILLS RD, RESTON, VA, 20190",38.9469296,-77.3282692,"11011, Sunset Hills Road, Pinecrest, Reston Station, Reston, Fairfax County, Virginia, 20190, United States",house,place,9.99999999995449e-06
"2700 COAST AVENUE, MOUNTAIN VIEW, CA, 94043",37.4304208,-122.0968582,"2700 Coast Avenue, Bill Campbill Way, Mountain View, Santa Clara County, California, 94043, United States",bus_stop,highway,2.8699931334355954e-05
